Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID,Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name,Website Source,Emails
Alban House Residential Care Home,8-10 Apsley Terrace,,Ilfracombe,Devon,EX34 9JU,01271863217,1-101706373,1-124316596,,Devon,South West,2025-09-10T10:05:45Z,https://www.cqc.org.uk/location/1-124316596,,"Sensory impairments,Dementia,Mental health conditions,Caring for adults over 65 yrs,Caring for people whose rights are restricted under the Mental Health Act,Physical disabilities",Residential homes,Alban Quality Care Limited,CQC Scrape,
Modality Mid Sussex,Bowers Place,Crawley Down,Crawley,,RH10 4HY,,1-199808572,1-7337522257,,West Sussex,South East,2025-09-10T09:00:00Z,https://www.cqc.org.uk/location/1-7337522257,,Services for everyone,"Doctors/GPs,Doctors/GPs",Modality Partnership,CQC Scrape,
Alison House,16A Croxley Road,,London,,W9 3HL,02082065921,1-101647909,1-2294256739,,Westminster,London,2025-09-09T19:30:09Z,https://www.cqc.org.uk/location/1-2294256739,,Learning disabilities,Residential homes,Learning Disability Network London,CQC Scrape,
Windsor Court,Bartholomew Avenue,,Goole,Humberside,DN14 6YN,01405763749,1-305829465,1-320777792,,East Riding of Yorkshire,Yorkshire & Humberside,2025-09-09T18:03:03Z,https://www.cqc.org.uk/location/1-320777792,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities","Nursing homes,Residential homes",HC-One Limited,CQC Scrape,
Alternative House Care Home Blackburn,548 Preston Old Road,,Blackburn,Lancashire,BB2 5NL,01254200411,1-432368755,1-2579884520,https://www.alternativehousecarehomeblackburn.co.uk,Blackburn with Darwen,North West,2025-09-09T17:00:00Z,https://www.cqc.org.uk/location/1-2579884520,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Ms Catherine Blyth,CSV,
Kingston Court Care Home,Newtown Road,,Carlisle,Cumbria,CA2 7JH,01228528542,1-5441805740,1-6922730100,,Cumberland,North West,2025-09-09T15:04:38Z,https://www.cqc.org.uk/location/1-6922730100,,"Dementia,Caring for adults over 65 yrs",Nursing homes,Mariposa Care Group Limited,CQC Scrape,
Highbury House Nursing Home,Steyning Road,,Rottingdean,East Sussex,BN2 7GA,01273309447,1-120630459,1-130340328,https://www.southcarehomes.com,Brighton and Hove,South East,2025-09-09T14:26:34Z,https://www.cqc.org.uk/location/1-130340328,,"Sensory impairments,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Zeenat Nanji & Tasneem Osman,CSV,info@southcarehomes.com
Weavers Court Care Home,Naylor Avenue,"Rawdon, Yeadon",Leeds,,LS19 7FG,,1-13654079070,1-14253166809,,Leeds,Yorkshire & Humberside,2025-09-09T14:05:37Z,https://www.cqc.org.uk/location/1-14253166809,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Adore Care Homes Ltd,CQC Scrape,
Kingsthorpe Grange,296 Harborough Road,Kingsthorpe,Northampton,Northamptonshire,NN2 8LT,01604821000,1-101725628,1-116950728,https://www.smhc.uk.com,West Northamptonshire,East Midlands,2025-09-09T12:56:47Z,https://www.cqc.org.uk/location/1-116950728,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs",Nursing homes,St. Matthews Limited,CSV,"info@smhc.uk.com, smhc.referrals@nhs.net"
Your New Slimming Clinic Limited,Saville House,5 Saville Place,Newcastle Upon Tyne,,NE1 8DQ,07712262556,1-9738015611,1-10291487556,,Newcastle upon Tyne,North East,2025-09-09T12:42:39Z,https://www.cqc.org.uk/location/1-10291487556,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs","Doctors/GPs,Doctors/GPs",Your New Slimming Clinic Limited,CQC Scrape,
Moorhead Rest Home,309-315 Whalley Road,,Accrington,Lancashire,BB5 5DF,01254232793,1-101663199,1-121886548,,Lancashire,North West,2025-09-09T11:45:16Z,https://www.cqc.org.uk/location/1-121886548,,"Sensory impairments,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,M.M.R. Care Limited,CQC Scrape,
St Bridget's - Care Home Physical Disabilities,Ilex Close,,Rustington,West Sussex,BN16 2RX,01903783988,1-102642667,1-120088041,https://www.leonardcheshire.org,West Sussex,South East,2025-09-09T11:13:32Z,https://www.cqc.org.uk/location/1-120088041,,"Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Leonard Cheshire Disability,CSV,
Disability Supported Accommodation Service North Network,Heathfield Resource Centre,"Heathfield St, Newton Heath",Manchester,Greater Manchester,M40 1LF,01616825463,1-101676792,1-161759613,https://www.mldp.org.uk,Manchester,North West,2025-09-09T11:13:27Z,https://www.cqc.org.uk/location/1-161759613,,Learning disabilities,Supported living,Manchester City Council,CSV,
Lichfield Grove Surgery,64 Lichfield Grove,Finchley,London,,N3 2JP,02083463123,1-199720502,1-559057124,https://www.lichfieldgrovesurgery.nhs.uk,Barnet,London,2025-09-09T11:12:18Z,https://www.cqc.org.uk/location/1-559057124,,Services for everyone,"Doctors/GPs,Doctors/GPs",Lichfield Grove Surgery,CSV,someone@mydomain.com
Lakeside Watermead Care Home,Brambling,Watermead,Aylesbury,Buckinghamshire,HP19 0WH,01296393166,1-18040036448,1-18041846082,https://www.lakesidewatermead.co.uk,Buckinghamshire,South East,2025-09-09T10:42:20Z,https://www.cqc.org.uk/location/1-18041846082,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities","Nursing homes,Residential homes",Lakeside Aylesbury Limited,CSV,info@lakesidewatermead.co.uk
Buckler's Lodge Care Home,Woodcote Green,,Crowthorne,,RG45 6HZ,01344959650,1-102642938,1-12648645222,https://www.greensleeves.org.uk,Bracknell Forest,South East,2025-09-09T10:21:46Z,https://www.cqc.org.uk/location/1-12648645222,,"Sensory impairments,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Greensleeves Homes Trust,CSV,headoffice@greensleeves.org.uk
Northern Smiles,1 Mill Street,,Crook,County Durham,DL15 9BE,01388762522,1-2564553131,1-2707958865,,County Durham,North East,2025-09-09T10:18:02Z,https://www.cqc.org.uk/location/1-2707958865,,Services for everyone,Dentist,Mr Amit Nayyar,CQC Scrape,
RSBC Care Ltd,"Office 3, 35 Sandford Avenue",,Church Stretton,,SY6 6BH,08000016824,1-13000554189,1-13882495604,https://www.rsbccareltd.co.uk,Shropshire,West Midlands,2025-09-09T10:03:58Z,https://www.cqc.org.uk/location/1-13882495604,,"Dementia,Caring for adults over 65 yrs",Homecare agencies,RSBC Care Ltd,CSV,
Sorted Healthcare Hampshire,Centaur House,Ancells Road,Fleet,Hampshire,GU51 2UJ,01932483180,1-14341102854,1-17714247786,,Hampshire,South East,2025-09-09T10:00:00Z,https://www.cqc.org.uk/location/1-17714247786,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities","Homecare agencies,Supported housing,Supported living",Sorted Healthcare Ltd,CQC Scrape,
Pathfinders Neurological Care Centre,Darwin Drive,New Ollerton,Newark,Nottinghamshire,NG22 9GW,01623836639,1-101690366,1-126973202,https://www.pathfinders-care.co.uk,Nottinghamshire,East Midlands,2025-09-09T09:04:38Z,https://www.cqc.org.uk/location/1-126973202,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities","Nursing homes,Rehabilitation (illness/injury)",Pathfinders-Care (Ollerton) Limited,CSV,"reception@pathfinders-care.co.uk, reception@www.pathfinders-care.co.uk"
Windmill Care Centre,104 Bath Road,,Slough,Berkshire,SL1 3SY,01753213010,1-3738636560,1-3883899304,https://www.mmcgcarehomes.co.uk/care-homes/windmill,Slough,South East,2025-09-09T08:49:53Z,https://www.cqc.org.uk/location/1-3883899304,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,MMCG (2) Limited,CSV,
International Care Limited,3-9 Balaam Street,Plaistow,London,,E13 8EB,02081911313,1-12533610472,1-13303299595,https://www.internationalcareservices.co.uk,Newham,London,2025-09-09T08:40:58Z,https://www.cqc.org.uk/location/1-13303299595,,"Sensory impairments,Caring for adults under 65 yrs,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,International Care Limited,CSV,
Montpellier Care Company Ltd,42 Stonebeck Avenue,,Harrogate,,HG1 2BW,01423500797,1-13795971661,1-15970390212,,North Yorkshire,Yorkshire & Humberside,2025-09-09T08:05:13Z,https://www.cqc.org.uk/location/1-15970390212,,"Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Montpellier Care Company Ltd,CQC Scrape,
The Dental Abode,19A High Street,,Chelmsford,Essex,CM1 1BE,01245256797,1-13585034794,1-13887110675,https://www.thedentalabode.co.uk,Essex,East,2025-09-09T08:00:00Z,https://www.cqc.org.uk/location/1-13887110675,,Services for everyone,Dentist,The Dental Abode Limited,CSV,
Passmores House,Third Avenue,,Harlow,Essex,CM18 6YL,01279634200,1-101701552,1-124721293,https://www.viaorg.uk,Essex,East,2025-09-09T00:01:00Z,https://www.cqc.org.uk/location/1-124721293,,Substance misuse problems,Rehabilitation (substance abuse),Via Residential Ltd,CSV,
Garrick Way Dental Surgery,23 Garrick Way,,Ipswich,Suffolk,IP1 6NF,01473741125,1-4746780919,1-4926672099,,Suffolk,East,2025-09-08T17:53:52Z,https://www.cqc.org.uk/location/1-4926672099,,Services for everyone,Dentist,Siamak Ghasemzadeh Kermanshahi,CQC Scrape,
The White House Nursing Home,Monkton Lane,,Jarrow,Tyne and Wear,NE32 5NN,01914899114,1-1485123409,1-1588221651,,South Tyneside,North East,2025-09-08T15:55:43Z,https://www.cqc.org.uk/location/1-1588221651,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Care Homes UK Two Limited,CQC Scrape,
Church Walk Surgery,Drury Street,Metheringham,Lincoln,Lincolnshire,LN4 3EZ,01526320522,1-12585136713,1-12880214294,https://www.churchwalkmetheringham.co.uk,Lincolnshire,East Midlands,2025-09-08T15:29:25Z,https://www.cqc.org.uk/location/1-12880214294,,"Sensory impairments,Services for everyone,Dementia,Learning disabilities,Mental health conditions,Caring for people whose rights are restricted under the Mental Health Act,Substance misuse problems,Eating disorders,Physical disabilities","Community services - Healthcare,Doctors/GPs,Doctors/GPs",Miss Kari Charne Buffey,CSV,
Jubilee House,White Point Road,,Whitby,North Yorkshire,YO21 3JR,01947602400,1-101662796,1-12810568935,https://www.stcecilias.co.uk,North Yorkshire,Yorkshire & Humberside,2025-09-08T14:50:17Z,https://www.cqc.org.uk/location/1-12810568935,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,St. Cecilia's Care Services Limited,CSV,
The New Wycliffe Home,111 Gleneagles Avenue,,Leicester,,LE4 7YJ,01162667093,1-18247006348,1-18284568185,,Leicester,East Midlands,2025-09-08T14:30:45Z,https://www.cqc.org.uk/location/1-18284568185,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,S6 Care Ltd,CQC Scrape,
Glenholme,20-22 Cabbell Road,,Cromer,Norfolk,NR27 9HX,01263511101,1-293883226,1-329677181,,Norfolk,East,2025-09-08T13:22:57Z,https://www.cqc.org.uk/location/1-329677181,,"Learning disabilities,Caring for adults over 65 yrs",Residential homes,Beacon Care Homes Limited,CQC Scrape,
Social Care Solutions Ltd (Herts & Bucks),43 Filbert Close,,Hatfield,,AL10 9SH,02072026300,1-139188160,1-4617238417,,Hertfordshire,East,2025-09-08T12:24:01Z,https://www.cqc.org.uk/location/1-4617238417,,"Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs","Homecare agencies,Supported living",Social Care Solutions Limited,CQC Scrape,
Aylmer Lodge Cookley Partnership,"Aylmer Lodge Surgery, Hume Street",,Kidderminster,Worcestershire,DY11 6SF,01562822015,1-199766828,1-551640535,https://www.aylmerlodge.nhs.uk,Worcestershire,West Midlands,2025-09-08T11:25:00Z,https://www.cqc.org.uk/location/1-551640535,,Services for everyone,"Doctors/GPs,Doctors/GPs",Aylmer Lodge Cookley Partnership,CSV,
CREATIVE CARE HOME LIMITED,6 Chevinedge Crescent,,Halifax,,HX3 9EQ,07788936986,1-14500138858,1-15104676665,,Calderdale,Yorkshire & Humberside,2025-09-08T10:00:00Z,https://www.cqc.org.uk/location/1-15104676665,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Creative Care Home Limited,CQC Scrape,
The Firs Care Centre,251 Staplegrove Road,,Taunton,Somerset,TA2 6AQ,01823275927,1-16434940562,1-16658088520,https://www.thefirscarecentre.co.uk,Somerset,South West,2025-09-08T09:14:23Z,https://www.cqc.org.uk/location/1-16658088520,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,The Firs Care Centre Ltd,CSV,
Ealing Dental Care,122 Broadway,West Ealing,London,,W13 0SY,,1-153007243,1-195100152,,Ealing,London,2025-09-08T09:06:28Z,https://www.cqc.org.uk/location/1-195100152,,Services for everyone,Dentist,Dr Poonum Winayak,CQC Scrape,
Kardinal Healthcare Ltd,Kardinal House,Southdown View Road,Worthing,West Sussex,BN14 8NL,01903211931,1-101688560,1-5795290084,,West Sussex,South East,2025-09-08T08:55:13Z,https://www.cqc.org.uk/location/1-5795290084,,"Caring for children (0 - 18yrs),Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Eating disorders,Physical disabilities",Homecare agencies,Kardinal Healthcare Limited,CQC Scrape,
Windmill Lodge,Wildings Lane,,Lytham St. Annes,,FY8 3RJ,01253800800,1-14169144970,1-14326046985,,Lancashire,North West,2025-09-08T08:43:19Z,https://www.cqc.org.uk/location/1-14326046985,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Nursing homes,Athena Healthcare (LSA One) Limited,CQC Scrape,
Medserena Upright MRI Centre,26-28 The Boulevard,Didsbury,Manchester,Lancashire,M20 2EU,0161434803,1-657000938,1-4437744209,,Manchester,North West,2025-09-08T00:01:00Z,https://www.cqc.org.uk/location/1-4437744209,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Caring for adults over 65 yrs",Diagnosis/screening,Medserena Upright MRI Ltd,CQC Scrape,
